City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Longyan,CN,25.1072,117.0225,54.0,84,99,1.01,overcast clouds
79,Codrington,AU,-38.2667,141.9667,61.14,94,100,16.78,overcast clouds
80,Nikolskoye,RU,59.7035,30.7861,37.4,52,90,11.18,overcast clouds
81,Hermanus,ZA,-34.4187,19.2345,70.0,73,0,8.99,clear sky
82,Yellowknife,CA,62.456,-114.3525,-5.01,59,90,10.36,light snow
83,Rincon,US,32.296,-81.2354,73.0,64,75,3.44,broken clouds
84,Ilulissat,GL,69.2167,-51.1,-4.0,77,75,16.11,snow
85,Kruisfontein,ZA,-34.0033,24.7314,69.01,75,0,7.0,clear sky
86,Grand Gaube,MU,-20.0064,57.6608,81.0,83,7,1.99,clear sky
87,Linjiang,CN,41.8069,126.9078,29.32,94,63,0.96,broken clouds
88,Christchurch,NZ,-43.5333,172.6333,57.99,94,90,3.44,overcast clouds
89,Kudahuvadhoo,MV,2.6708,72.8944,82.4,70,39,3.8,scattered clouds
90,Rocha,UY,-34.4833,-54.3333,74.26,61,62,5.1,broken clouds
91,Kurumkan,RU,54.3,110.3,15.08,91,54,4.18,broken clouds
92,Denpasar,ID,-8.65,115.2167,80.6,83,40,13.8,scattered clouds
93,Shiyan,CN,32.6475,110.7781,54.86,64,0,3.0,clear sky
94,Waingapu,ID,-9.6567,120.2641,78.19,84,95,5.03,overcast clouds
95,Esperance,AU,-33.8667,121.9,57.2,72,75,3.44,broken clouds
96,Sampit,ID,-2.5333,112.95,73.9,99,100,2.89,light rain
97,Mount Isa,AU,-20.7333,139.5,78.8,78,90,4.61,light rain
98,Kavieng,PG,-2.5744,150.7967,80.64,78,94,9.64,light rain
99,Bethel,US,41.3712,-73.414,64.99,32,1,3.44,clear sky
100,Isangel,VU,-19.55,169.2667,74.79,81,97,9.75,overcast clouds
101,Kodiak,US,57.79,-152.4072,32.0,74,1,6.91,clear sky
102,Passi,PH,11.15,122.65,74.55,92,67,4.16,broken clouds
103,Rudnogorsk,RU,57.2639,103.7519,28.71,97,100,6.96,light snow
104,Victoria,HK,22.2855,114.1577,66.99,73,100,1.01,overcast clouds
105,Leningradskiy,RU,69.3833,178.4167,-4.2,97,100,5.7,light snow
106,Karratha,AU,-20.7377,116.8463,81.86,66,45,8.23,light rain
107,North Bend,US,43.4065,-124.2243,48.99,87,1,8.28,clear sky
108,Boshnyakovo,RU,49.6333,142.1667,14.16,78,96,13.98,snow
109,Mar Del Plata,AR,-38.0023,-57.5575,73.4,60,40,8.05,scattered clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,72.0,60,20,4.61,few clouds
111,Inuvik,CA,68.3499,-133.7218,-2.2,65,17,9.22,few clouds
112,Hadgaon,IN,19.5,77.6667,83.84,34,49,13.73,scattered clouds
113,Longyearbyen,SJ,78.2186,15.6401,24.8,68,40,11.5,scattered clouds
114,Cherskiy,RU,68.75,161.3,2.97,95,100,7.23,light snow
115,Safranbolu,TR,41.2508,32.6942,35.31,98,100,3.22,light rain
116,Lagoa,PT,39.05,-27.9833,54.93,54,100,12.06,overcast clouds
117,Dudinka,RU,69.4058,86.1778,-11.36,100,86,7.61,overcast clouds
118,Ketchikan,US,55.3422,-131.6461,41.0,100,90,17.27,moderate rain
119,Clinton,US,42.587,-82.9199,62.01,38,75,9.22,broken clouds
120,Byron Bay,AU,-28.65,153.6167,73.0,100,42,9.13,scattered clouds
121,Port Lincoln,AU,-34.7333,135.8667,60.91,91,68,8.7,broken clouds
122,Kantang,TH,7.4054,99.5156,76.93,84,98,3.36,overcast clouds
123,Saskylakh,RU,71.9167,114.0833,-38.15,100,46,5.53,scattered clouds
124,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,0,14.97,clear sky
125,Coihaique,CL,-45.5752,-72.0662,53.6,54,75,11.5,broken clouds
126,Sisimiut,GL,66.9395,-53.6735,-0.96,81,96,5.75,overcast clouds
127,Faya,SA,18.3851,42.4509,69.8,56,0,10.36,clear sky
128,College,US,64.8569,-147.8028,12.2,79,90,3.44,light snow
129,Kanye,BW,-24.9667,25.3327,62.49,82,99,13.67,light rain
130,Asfi,MA,32.2994,-9.2372,64.8,60,0,14.45,clear sky
131,Pochutla,MX,15.7432,-96.4661,88.0,51,1,13.8,clear sky
132,Touros,BR,-5.1989,-35.4608,87.8,55,40,16.11,scattered clouds
133,Prince Rupert,CA,54.3161,-130.3201,42.8,87,90,19.57,overcast clouds
134,Fairbanks,US,64.8378,-147.7164,12.2,85,90,1.19,light snow
135,Saint-Joseph,RE,-21.3667,55.6167,80.6,83,40,3.44,scattered clouds
136,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,74,0,13.8,clear sky
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,54,13,6.71,few clouds
138,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,71,20,19.57,snow
139,Te Anau,NZ,-45.4167,167.7167,52.56,94,98,3.04,overcast clouds
140,Brae,GB,60.3964,-1.353,46.4,81,20,18.41,few clouds
141,Ganesti,RO,46.3333,24.35,37.4,75,75,13.8,broken clouds
142,Panama City,PA,8.9936,-79.5197,90.0,51,40,4.61,scattered clouds
143,Springbok,ZA,-29.6643,17.8865,75.2,53,20,13.8,few clouds
144,Castlegar,CA,49.2998,-117.6689,37.4,70,30,4.61,scattered clouds
145,Berlevag,NO,70.8578,29.0864,33.8,80,75,33.38,snow
146,Durant,US,33.994,-96.3708,59.0,58,1,14.97,clear sky
147,Krasnoselkup,RU,65.7,82.4667,17.65,94,100,14.14,light snow
148,Tiznit,MA,29.5833,-9.5,69.58,21,0,9.44,clear sky
149,Ambon,ID,-3.6954,128.1814,77.0,88,20,9.22,few clouds
150,Abashiri,JP,44.0213,144.2697,39.99,61,59,5.99,broken clouds
151,Hamilton,US,39.1834,-84.5333,66.99,42,75,8.05,broken clouds
152,Hilo,US,19.7297,-155.09,66.2,72,1,6.91,clear sky
153,Kapaa,US,22.0752,-159.319,64.4,88,1,8.05,clear sky
154,Umm Kaddadah,SD,13.6017,26.6876,92.32,15,37,3.24,scattered clouds
155,Sabang,ID,5.8933,95.3214,83.61,72,52,17.54,broken clouds
156,Hithadhoo,MV,-0.6,73.0833,83.95,67,24,7.29,few clouds
157,Valley City,US,46.9233,-98.0032,48.2,43,1,6.91,clear sky
158,Samarkand,UZ,39.6542,66.9597,44.6,93,40,9.22,scattered clouds
159,Reforma,MX,18.1,-91.0167,95.86,33,0,12.64,clear sky
160,Barra Do Garcas,BR,-15.89,-52.2567,80.78,72,100,0.45,overcast clouds
161,Aliwal North,ZA,-30.6937,26.7114,66.65,27,29,2.84,scattered clouds
162,Tezu,IN,27.9167,96.1667,73.67,27,5,4.74,clear sky
163,Kloulklubed,PW,7.0419,134.2556,78.8,89,75,6.91,broken clouds
164,Castro,BR,-24.7911,-50.0119,79.77,60,23,3.98,few clouds
165,Cserszegtomaj,HU,46.8017,17.221,46.4,53,56,19.57,broken clouds
166,Grafton,US,42.207,-71.6856,66.0,25,1,4.14,clear sky
167,Nanortalik,GL,60.1432,-45.2371,26.51,59,10,15.08,clear sky
168,Butaritari,KI,3.0707,172.7902,80.89,80,40,21.25,light rain
169,Novopokrovka,UA,49.8425,36.5477,32.0,93,90,6.71,light snow
170,Khatanga,RU,71.9667,102.5,-12.89,93,100,3.96,overcast clouds
171,Rudbar,AF,30.15,62.6,72.86,11,44,9.06,scattered clouds
172,Tiksi,RU,71.6872,128.8694,-26.0,100,100,4.94,overcast clouds
173,Hofn,IS,64.2539,-15.2082,38.98,45,100,6.69,overcast clouds
174,Necochea,AR,-38.5473,-58.7368,80.01,42,0,5.99,clear sky
