City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,Turayf,SA,86.0,dust,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
629,Anloga,GH,77.0,moderate rain,5.7947,0.8973,Pin Drop Hotel
633,Mandera,KE,91.71,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
640,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
643,Sambava,MG,78.39,overcast clouds,-14.2667,50.1667,Melrose
645,Acarau,BR,82.71,scattered clouds,-2.8856,-40.12,castelo pizzaria
647,Resistencia,AR,87.01,broken clouds,-27.4606,-58.9839,Niyat Urban Hotel
651,Nicoya,CR,87.8,few clouds,10.1483,-85.452,Guayacan Real
652,Kilindoni,TZ,83.7,clear sky,-7.9139,39.6668,Bustani B&B
658,Partur,IN,82.47,broken clouds,19.6,76.2167,Alfa Hotel
664,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
665,Aden,YE,80.74,clear sky,12.7794,45.0367,Sama Emirate Hotel
667,Singaraja,ID,79.74,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
670,Marang,MY,82.4,scattered clouds,5.2056,103.2059,DBarakah Homestay
672,Majenang,ID,75.65,overcast clouds,-7.2975,108.7642,Strum Aki Majenang
676,Thanyaburi,TH,90.0,few clouds,14.0211,100.7343,Hotel RIDE 'n Lazy @ Thai Wake Park
681,Santo Augusto,BR,82.4,broken clouds,-27.8508,-53.7772,Hotel Marco Polo
688,Santa Rosa,PH,82.4,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
691,Huarmey,PE,76.96,overcast clouds,-10.0681,-78.1522,Hotel Miramar
692,Lakheri,IN,75.47,broken clouds,25.6667,76.1667,Swastik gas agency lakheri
